brand;Social ;Environmental;Quality;Categories
Adidas;2,3;3,3;4,5;clothing/underwear
ALDI Nord;0,2;1,3;;clothing/underwear
ALDI SOUTH;0,8;0,8;;clothing/accessories
ALDO;0,2;0,8;;clothing/shoes/sportswear/accessories/underwear
Amazon;0,8;0,4;4,5;clothing/shoes/accessories/underwear
American Eagle;0,4;1,0;;clothing/shoes
Aritzia;0,4;1,0;;clothing/shoes/sportswear/underwear
Asda;0,6;1,9;;clothing
ASICS;0,6;2,3;4,5;clothing/shoes
ASOS;1,9;2,1;4,5;clothing
Balenciaga;1,0;3,3;;clothing/shoes/sportswear/underwear
Banana Republic;0,8;2,3;4;clothing/shoes/accessories
Bershka;1,3;2,9;4,5;clothing/shoes/sportswear
Big W;0,6;0,4;;clothing
Bonprix;0,2;1,2;4,5;clothing/sportswear
boohoo;0,6;0,2;4,5;clothing
Bottega Veneta;1,0;3,1;;clothing
Brooks Sport;0,4;1,3;4,5;clothing
Brunello Cucinelli;0,2;0,8;;clothing/shoes/sportswear/accessories
Burberry;1,3;2,9;;clothing
Burlington;0,2;0,6;;clothing/shoes/sportswear/accessories
C&A;1,5;3,3;4,5;clothing
Calvin Klein;1,2;3,3;4,5;clothing
Carolina Herrera;0,2;0,6;;clothing
CAROLL;0,4;0,6;4,5;clothing/shoes/accessories
Carrefour;0,2;0,8;4,5;clothing
CELINE;0,4;1,7;;clothing/shoes/sportswear
Champion;1,0;1,0;;clothing/accessories
Chloé;0,4;0,4;;clothing/shoes/accessories
Clarks;0,6;1,2;4,5;clothing
COACH;0,2;1,2;4,5;clothing/shoes
Columbia Sportswear;0,6;1,7;4,5;clothing/accessories
Converse;1,2;3,7;4,5;clothing
Costco;0,6;0,2;;clothing/shoes/accessories
Cotton On;0,4;0,6;;clothing/shoes/accessories
Debenhams;0,6;1,0;;clothing
Decathlon;0,4;2,3;4;clothing
Desigual;0,6;0,6;4,5;clothing/shoes/accessories
Dior;0,6;1,7;;clothing
Disney;0,2;0,4;4,5;clothing/accessories
Dr. Martens;0,2;0,2;4,5;clothing/accessories
Dressmann;0,6;0,8;;clothing/shoes/sportswear/accessories/underwear
El Corte Inglés;0,2;1,7;4;clothing
Esprit;1,0;2,7;4,5;clothing/shoes/sportswear
Falabella;0,2;0,6;;clothing/accessories
Fendi;0,4;1,5;;clothing/accessories
Fila;0,2;0,2;;clothing/shoes/sportswear/accessories
Fjällräven;0,8;1,9;;clothing/shoes/sportswear
Foschini;0,2;1,0;;clothing/underwear
Fossil;0,4;0,4;4,5;clothing
G-Star RAW;0,8;1,2;4,5;clothing
Gap;0,8;2,3;4,5;clothing/sportswear/underwear
Gildan;1,0;1,7;;clothing/sportswear/accessories
Gucci;1,3;3,5;;clothing
GUESS;0,2;1,3;4,5;clothing
H&M;2,3;3,7;4,5;clothing
Hanes;1,0;1,0;;clothing/sportswear/underwear
Helly Hansen;0,6;1,0;;clothing/accessories
Hermès;0,4;1,7;;clothing/underwear
Hollister Co.;0,8;0,8;4,5;clothing/shoes
Hugo Boss;0,6;1,7;4,5;clothing
Jack & Jones;0,4;1,0;4,5;clothing/sportswear/accessories
JD Sports;0,6;0,8;4,5;clothing
Jil Sander;0,2;0,4;;clothing/accessories
John Lewis;1,3;1,3;;clothing/shoes/sportswear/accessories
Jordan;1,2;3,7;;clothing/shoes
Kate Spade;0,2;1,2;;clothing
Kathmandu;0,4;1,2;;clothing
KiK;0,2;0,6;;clothing/accessories
Kmart Australia;1,0;1,0;;clothing
Kohl's;0,2;0,6;;clothing/accessories
La Redoute;0,4;0,6;4,5;clothing/accessories
Lacoste;0,2;1,0;4,5;clothing
Levi Strauss & Co;0,6;2,3;4,5;clothing/shoes
Lidl;1,0;1,2;;clothing/shoes/sportswear/accessories/underwear
Lindex;1,0;1,5;;clothing/shoes/sportswear/accessories/underwear
LOFT;0,4;1,2;;clothing
Louis Vuitton;0,4;1,9;;clothing/shoes/underwear
Lululemon;0,8;0,4;;clothing/shoes/accessories
Mammut;1,2;2,3;;clothing
Mango;0,4;1,7;4;clothing
Marc Jacobs;0,4;1,5;;clothing
Marks & Spencer;1,9;3,1;4,5;clothing/shoes
Massimo Dutti;1,3;2,9;;clothing/shoes
Miu Miu;0,6;1,0;;clothing
Mizuno;0,2;0,4;5;clothing
Monoprix;0,4;0,6;4,5;clothing/accessories
Monsoon;0,4;1,3;4,5;clothing
Morrisons;1,0;1,0;;clothing/sportswear/accessories
Muji;0,2;0,4;;clothing/shoes/sportswear/accessories
New Balance;1,3;1,7;4,5;clothing/shoes/accessories
New Look;0,8;1,5;4,5;clothing/shoes/sportswear
Next;1,2;1,5;4,5;clothing
Nike;1,2;3,7;4,5;clothing/shoes
Nordstrom;0,6;1,0;;clothing/sportswear/underwear
Old Navy;0,8;2,3;;clothing/shoes/sportswear/underwear
Otto;0,2;0,8;;clothing
OVS;0,4;1,9;;clothing
Patagonia;2,7;2,7;4,5;clothing
Prada;0,6;1,0;;clothing
PrettyLittleThing;0,6;0,2;4,5;clothing
Primark;1,3;1,7;;clothing
Prisma;0,4;1,7;;clothing/shoes/sportswear/accessories/underwear
Pull&Bear;1,3;2,9;4,5;clothing/shoes/underwear
Puma;1,0;3,1;4,5;clothing
Ralph Lauren;0,8;1,7;4,5;clothing
Reebok;2,3;3,3;4,5;clothing/shoes
REI;0,2;1,2;;clothing/shoes/sportswear
Reliance Trends;0,4;0,4;;clothing/accessories
Reserved;0,4;1,3;;clothing/shoes/accessories
Sainsbury's;0,8;1,9;;clothing/shoes/sportswear/accessories
SAINT LAURENT;1,0;3,3;4,5;clothing/shoes/sportswear/underwear
Salvatore Ferragamo;0,2;0,6;;clothing/sportswear/accessories/underwear
Sandro;0,2;0,4;5;clothing/shoes/sportswear/accessories/underwear
Speedo;1,2;1,2;5;clothing/shoes/sportswear/accessories
Sports Direct;0,4;0,2;;clothing
Stradivarius;1,3;2,9;4,5;clothing
Superdry;0,6;1,5;4,5;clothing/shoes/accessories
Target;0,4;2,1;;clothing/shoes/sportswear
Target Australia;1,0;1,0;;clothing/shoes/accessories
Tchibo;0,4;2,3;;clothing
Ted Baker;0,6;0,6;4,5;clothing/shoes/accessories
Tesco;1,0;2,3;;clothing
The North Face;0,8;2,7;4,5;clothing
The Warehouse;1,0;0,8;;clothing
Timberland;0,8;2,7;4,5;clothing
TJ Maxx;0,4;0,4;;clothing
Tod's;0,6;1,3;;clothing/sportswear/accessories/underwear
Tommy Hilfiger;1,2;3,3;4,5;clothing
Topman;0,8;1,2;;clothing
Topshop;0,8;1,2;;clothing
TOPVALU COLLECTION;0,2;1,5;;clothing
Truworths;0,2;1,0;;clothing
UGG;0,2;0,8;4,5;clothing
Under Armour;0,4;0,6;4,5;clothing/shoes/sportswear/accessories
Uniqlo;1,0;2,3;4,5;clothing/sportswear
United Colors of Benetton;0,4;1,5;4,5;clothing/shoes
Van Heusen;1,2;3,3;;clothing/shoes/sportswear
Vans;0,8;2,7;4,5;clothing
Vero Moda;0,4;1,2;4,5;clothing/shoes
Victoria's Secret;0,6;0,6;;clothing/shoes/accessories
Walmart;0,4;1,2;;clothing/shoes/accessories
Woolworths South Africa;0,2;1,7;;clothing/accessories
Wrangler;0,8;2,7;;clothing
Zalando;0,6;2,1;4,5;clothing
Zara;1,3;2,9;4;clothing
Zeeman;0,8;1,0;;clothing/accessories
